"Region","Category","Year","Value"
"Guangdong","IT_value",2021,4099.61
"Guangdong","IT_value",2020,3267.21
"Guangdong","IT_value",2019,2223.08
"Guangdong","IT_value",2018,1365.42
"Guangdong","IT_value",2017,937.08
"Guangdong","IT_value",2016,758.17
"Guangxi","IT_value",2024,182.89
"Guangxi","IT_value",2023,88.93
"Guangxi","IT_value",2022,226.99
"Guangxi","IT_value",2021,940.58
"Guangxi","IT_value",2020,91.67
"Guangxi","IT_value",2019,77.56
"Guangxi","IT_value",2018,61.41
"Guangxi","IT_value",2017,39.42
"Guangxi","IT_value",2016,33.99
"Hainan","IT_value",2024,68.93
"Hainan","IT_value",2023,52.59
"Hainan","IT_value",2022,31.55
"Hainan","IT_value",2021,28.42
"Hainan","IT_value",2020,20.19
"Hainan","IT_value",2019,9.11
"Hainan","IT_value",2018,6.94
"Hainan","IT_value",2017,4.11
"Hainan","IT_value",2016,3.44
"Chongqing","IT_value",2024,943.82
"Chongqing","IT_value",2023,718.49
"Chongqing","IT_value",2022,559.47
"Chongqing","IT_value",2021,184.52
"Chongqing","IT_value",2020,117.79
"Chongqing","IT_value",2019,56.65
"Chongqing","IT_value",2018,188.35
"Chongqing","IT_value",2017,51.36
"Chongqing","IT_value",2016,147.19
"Sichuan","IT_value",2024,2596.48
"Sichuan","IT_value",2023,1942.15
"Sichuan","IT_value",2022,1643.53
"Sichuan","IT_value",2021,1388.69
"Sichuan","IT_value",2020,1244.59
"Sichuan","IT_value",2019,1211.95
"Sichuan","IT_value",2018,996.7
"Sichuan","IT_value",2017,405.83
"Sichuan","IT_value",2016,299.3
"Guizhou","IT_value",2024,585.59
"Guizhou","IT_value",2023,482.02
"Guizhou","IT_value",2022,390.72
"Guizhou","IT_value",2021,289.27
"Guizhou","IT_value",2020,249.11
"Guizhou","IT_value",2019,227.18
"Guizhou","IT_value",2018,171.1
"Guizhou","IT_value",2017,80.74
"Guizhou","IT_value",2016,20.44
"Yunnan","IT_value",2024,337.18
"Yunnan","IT_value",2023,268.88
"Yunnan","IT_value",2022,218.95
"Yunnan","IT_value",2021,106.1
"Yunnan","IT_value",2020,49.95
"Yunnan","IT_value",2019,82.7
"Yunnan","IT_value",2018,89.49
"Yunnan","IT_value",2017,84.76
"Yunnan","IT_value",2016,58.26
"Tibet","IT_value",2024,14.79
"Tibet","IT_value",2023,8.17
"Tibet","IT_value",2022,6.21
"Tibet","IT_value",2021,1.73
"Tibet","IT_value",2020,0.78
"Tibet","IT_value",2019,0.96
"Tibet","IT_value",2018,0.04
"Tibet","IT_value",2017,0.04
"Tibet","IT_value",2016,NA
"Shaanxi","IT_value",2024,4825.91
"Shaanxi","IT_value",2023,4118.46
"Shaanxi","IT_value",2022,3048.73
"Shaanxi","IT_value",2021,2343.44
"Shaanxi","IT_value",2020,1758.72
"Shaanxi","IT_value",2019,1467.35
"Shaanxi","IT_value",2018,1125.29
"Shaanxi","IT_value",2017,920.94
"Shaanxi","IT_value",2016,802.79
"Gansu","IT_value",2024,562.85
"Gansu","IT_value",2023,464.81
"Gansu","IT_value",2022,335.84
"Gansu","IT_value",2021,280.39
"Gansu","IT_value",2020,233.16
"Gansu","IT_value",2019,196.42
"Gansu","IT_value",2018,180.88
"Gansu","IT_value",2017,162.96
"Gansu","IT_value",2016,150.66
"Qinghai","IT_value",2024,23.36
"Qinghai","IT_value",2023,19.3
"Qinghai","IT_value",2022,16.03
"Qinghai","IT_value",2021,14.1
"Qinghai","IT_value",2020,10.56
"Qinghai","IT_value",2019,9.1
"Qinghai","IT_value",2018,79.36
"Qinghai","IT_value",2017,67.72
"Qinghai","IT_value",2016,56.92
"Ningxia","IT_value",2024,48.33
"Ningxia","IT_value",2023,40.3
"Ningxia","IT_value",2022,34.05
"Ningxia","IT_value",2021,25.09
"Ningxia","IT_value",2020,16.81
"Ningxia","IT_value",2019,14.9
"Ningxia","IT_value",2018,12.11
"Ningxia","IT_value",2017,6.67
"Ningxia","IT_value",2016,4.05
"Xinjiang","IT_value",2024,101.08
"Xinjiang","IT_value",2023,73.58
"Xinjiang","IT_value",2022,31.18
"Xinjiang","IT_value",2021,18.85
"Xinjiang","IT_value",2020,15.11
"Xinjiang","IT_value",2019,7.82
"Xinjiang","IT_value",2018,3.92
"Xinjiang","IT_value",2017,5.76
"Xinjiang","IT_value",2016,4.28
"Beijing","medicalbed",2024,14.11
"Beijing","medicalbed",2023,13.88
"Beijing","medicalbed",2022,13.39
"Beijing","medicalbed",2021,13.03
"Beijing","medicalbed",2020,12.7
"Beijing","medicalbed",2019,12.78
"Beijing","medicalbed",2018,12.36
"Beijing","medicalbed",2017,12.06
"Beijing","medicalbed",2016,11.7
"Tianjin","medicalbed",2024,7.32
"Tianjin","medicalbed",2023,7.25
"Tianjin","medicalbed",2022,6.85
"Tianjin","medicalbed",2021,6.87
"Tianjin","medicalbed",2020,6.83
"Tianjin","medicalbed",2019,6.83
"Tianjin","medicalbed",2018,6.82
"Tianjin","medicalbed",2017,6.84
"Tianjin","medicalbed",2016,6.58
"Hebei","medicalbed",2024,54.69
"Hebei","medicalbed",2023,53.4
"Hebei","medicalbed",2022,48.57
"Hebei","medicalbed",2021,45.5
"Hebei","medicalbed",2020,44.2
"Hebei","medicalbed",2019,43.01
"Hebei","medicalbed",2018,42.19
"Hebei","medicalbed",2017,39.5
"Hebei","medicalbed",2016,36.05
"Shanxi","medicalbed",2024,22.99
"Shanxi","medicalbed",2023,23.23
"Shanxi","medicalbed",2022,22.84
"Shanxi","medicalbed",2021,22.89
"Shanxi","medicalbed",2020,22.37
"Shanxi","medicalbed",2019,21.84
"Shanxi","medicalbed",2018,20.83
"Shanxi","medicalbed",2017,19.75
"Shanxi","medicalbed",2016,18.97
"Inner Mongolia","medicalbed",2024,17.36
"Inner Mongolia","medicalbed",2023,17.31
"Inner Mongolia","medicalbed",2022,16.77
"Inner Mongolia","medicalbed",2021,16.66
"Inner Mongolia","medicalbed",2020,16.21
"Inner Mongolia","medicalbed",2019,16.11
"Inner Mongolia","medicalbed",2018,15.9
"Inner Mongolia","medicalbed",2017,15.03
"Inner Mongolia","medicalbed",2016,13.92
"Liaoning","medicalbed",2024,33.77
"Liaoning","medicalbed",2023,33.42
"Liaoning","medicalbed",2022,32.62
"Liaoning","medicalbed",2021,32.45
"Liaoning","medicalbed",2020,31.45
"Liaoning","medicalbed",2019,31.38
"Liaoning","medicalbed",2018,31.44
"Liaoning","medicalbed",2017,29.86
"Liaoning","medicalbed",2016,28.44
"Jilin","medicalbed",2024,17.77
"Jilin","medicalbed",2023,18.37
"Jilin","medicalbed",2022,17.72
"Jilin","medicalbed",2021,17.65
"Jilin","medicalbed",2020,17.31
"Jilin","medicalbed",2019,17.03
"Jilin","medicalbed",2018,16.7
"Jilin","medicalbed",2017,15.37
"Jilin","medicalbed",2016,15.12
"Heilongjiang","medicalbed",2024,27.3
"Heilongjiang","medicalbed",2023,27.33
"Heilongjiang","medicalbed",2022,26.13
"Heilongjiang","medicalbed",2021,26.05
"Heilongjiang","medicalbed",2020,25.33
"Heilongjiang","medicalbed",2019,26.26
"Heilongjiang","medicalbed",2018,25.01
"Heilongjiang","medicalbed",2017,24.17
"Heilongjiang","medicalbed",2016,22.01
"Shanghai","medicalbed",2024,18.61
"Shanghai","medicalbed",2023,17.5
"Shanghai","medicalbed",2022,16.53
"Shanghai","medicalbed",2021,16.04
"Shanghai","medicalbed",2020,15.22
"Shanghai","medicalbed",2019,14.65
"Shanghai","medicalbed",2018,13.9
